datetime,pred_hazardous,hazardous
2018-05-24 11:00:00,False,False
2018-05-24 12:00:00,False,False
2018-05-24 12:30:00,False,False
2018-05-24 13:00:00,False,False
2018-05-24 13:30:00,False,False
2018-05-24 14:00:00,False,False
2018-05-24 14:30:00,False,False
2018-05-24 15:00:00,False,False
2018-05-24 15:30:00,False,False
2018-05-24 16:00:00,False,False
2018-05-24 16:30:00,False,False
2018-05-24 17:00:00,False,True
2018-05-24 17:30:00,False,False
2018-05-24 18:00:00,False,False
2018-05-24 18:30:00,False,False
2018-05-24 19:30:00,False,False
2018-05-24 20:00:00,False,False
2018-05-24 20:30:00,False,False
2018-05-24 21:00:00,False,False
2018-05-24 21:30:00,False,False
2018-05-24 22:00:00,False,False
2018-05-24 22:30:00,False,False
2018-05-24 23:00:00,False,False
2018-05-24 23:30:00,False,False
2018-05-25 00:00:00,False,False
2018-05-25 00:30:00,False,False
2018-05-25 01:00:00,False,False
2018-05-25 01:30:00,False,False
2018-05-25 02:00:00,False,False
2018-05-25 02:30:00,False,False
2018-05-25 03:00:00,False,True
2018-05-25 03:30:00,False,True
2018-05-25 04:00:00,False,True
2018-05-25 05:00:00,False,True
2018-05-25 05:30:00,False,True
2018-05-25 06:00:00,False,False
2018-05-25 06:30:00,False,False
2018-05-25 07:00:00,False,True
2018-05-25 07:30:00,False,True
2018-05-25 08:00:00,False,True
2018-05-25 08:30:00,False,True
2018-05-25 09:00:00,False,True
2018-05-25 09:30:00,False,False
2018-05-25 10:00:00,False,False
2018-05-25 10:30:00,False,False
2018-05-25 11:00:00,False,False
2018-05-25 11:30:00,False,False
2018-05-25 12:00:00,False,False
2018-05-25 12:30:00,False,True
2018-05-25 13:30:00,False,True
2018-05-25 14:00:00,False,False
2018-05-25 14:30:00,False,False
2018-05-25 15:00:00,False,False
2018-05-25 15:30:00,False,False
2018-05-25 16:00:00,False,False
2018-05-25 16:30:00,False,False
2018-05-25 20:30:00,False,True
2018-05-25 21:00:00,False,True
2018-05-25 21:30:00,False,True
2018-05-25 22:00:00,False,True
2018-05-25 23:00:00,False,True
2018-05-25 23:30:00,False,False
2018-05-26 00:00:00,False,False
2018-05-26 00:30:00,False,True
2018-05-26 02:00:00,False,True
2018-05-26 03:00:00,False,False
2018-05-26 03:30:00,False,False
2018-05-26 04:00:00,False,True
2018-05-26 04:30:00,False,True
2018-05-26 05:00:00,False,True
2018-05-26 05:30:00,False,False
2018-05-26 06:00:00,False,False
2018-05-26 06:30:00,False,False
2018-05-26 07:00:00,False,False
2018-05-26 07:30:00,False,False
2018-05-26 08:00:00,False,False
2018-05-26 09:00:00,False,False
2018-05-26 10:00:00,False,False
2018-05-26 10:30:00,False,False
2018-05-26 11:00:00,False,False
2018-05-26 11:30:00,False,False
2018-05-26 12:00:00,False,False
2018-05-26 12:30:00,False,False
2018-05-26 13:00:00,False,False
2018-05-26 13:30:00,False,False
2018-05-26 14:00:00,False,False
2018-05-26 14:30:00,False,False
2018-05-26 15:30:00,False,False
2018-05-26 16:00:00,False,False
2018-05-26 16:30:00,False,False
