datetime,events,distance(KM),hazardous
20181109084738,0,-1,False
20181109084746,0,-1,False
20181109084754,0,-1,False
20181109084802,0,-1,False
20181109084810,0,-1,False
20181109084818,0,-1,False
20181109084826,0,-1,False
20181109084834,0,-1,False
20181109084843,0,-1,False
20181109084851,0,-1,False
20181109084859,0,-1,False
20181109084907,0,-1,False
20181109084915,0,-1,False
20181109084923,0,-1,False
20181109084931,0,-1,False
20181109084939,0,-1,False
20181109084947,0,-1,False
20181109084955,0,-1,False
20181109085003,0,-1,False
20181109085011,0,-1,False
20181109085019,0,-1,False
20181109085027,0,-1,False
20181109085035,0,-1,False
20181109085043,0,-1,False
20181109085051,0,-1,False
20181109085059,0,-1,False
20181109085107,0,-1,False
20181109085116,0,-1,False
20181109085124,0,-1,False
20181109085132,0,-1,False
20181109085140,0,-1,False
20181109085148,0,-1,False
20181109085156,0,-1,False
20181109085204,0,-1,False
20181109085212,0,-1,False
20181109085220,0,-1,False
20181109085228,0,-1,False
20181109085236,0,-1,False
20181109085244,0,-1,False
20181109085252,0,-1,False
20181109085300,0,-1,False
20181109085308,0,-1,False
20181109085316,0,-1,False
20181109085324,0,-1,False
20181109085333,0,-1,False
20181109085341,0,-1,False
20181109085349,0,-1,False
20181109085357,0,-1,False
20181109085405,0,-1,False
20181109085413,0,-1,False
20181109085421,0,-1,False
20181109085429,0,-1,False
20181109085437,0,-1,False
20181109085445,0,-1,False
20181109085524,0,-1,False
20181109085538,0,-1,False
20181109085551,0,-1,False
20181109085602,0,-1,False
20181109085614,0,-1,False
20181109085627,0,-1,False
20181109085642,0,-1,False
20181109085656,0,-1,False
20181109085710,0,-1,False
20181109085723,0,-1,False
20181109085737,0,-1,False
20181109085752,0,-1,False
20181109090549,0,-1,False
20181109090603,0,-1,False
20181109090616,0,-1,False
20181109090630,0,-1,False
20181109090645,0,-1,False
20181109090659,0,-1,False
20181109090712,0,-1,False
20181109090724,0,-1,False
20181109090737,0,-1,False
20181109090752,0,-1,False
20181109090806,0,-1,False
20181109090819,0,-1,False
20181109090833,0,-1,False
20181109091454,0,-1,False
20181109091506,0,-1,False
20181109091520,0,-1,False
20181109091534,0,-1,False
20181109091549,0,-1,False
20181109091603,0,-1,False
20181109091617,0,-1,False
20181109091630,0,-1,False
20181109091644,0,-1,False
20181109091656,0,-1,False
20181109091709,0,-1,False
20181109091723,0,-1,False
20181109091735,0,-1,False
20181109091749,0,-1,False
20181109091800,0,-1,False
20181109091813,0,-1,False
20181109091825,0,-1,False
20181109091838,0,-1,False
20181109091850,0,-1,False
20181109091902,0,-1,False
20181109091914,0,-1,False
20181109091928,0,-1,False
20181109091941,0,-1,False
20181109091954,0,-1,False
20181109092007,0,-1,False
20181109092020,0,-1,False
20181109092035,0,-1,False
20181109095324,0,-1,False
20181109095332,0,-1,False
20181109095608,0,-1,False
20181109095622,0,-1,False
20181109095636,0,-1,False
20181109095648,0,-1,False
20181109095702,0,-1,False
20181109095716,0,-1,False
20181109095731,0,-1,False
20181109095744,0,-1,False
20181109095758,0,-1,False
20181109095812,0,-1,False
20181109095826,0,-1,False
20181109095838,0,-1,False
20181109095853,0,-1,False
20181109095905,0,-1,False
20181109095920,0,-1,False
20181109095933,0,-1,False
20181109095947,0,-1,False
20181109100000,0,-1,False
20181109100014,0,-1,False
20181109100027,0,-1,False
20181109100041,0,-1,False
20181109100054,0,-1,False
20181109100108,0,-1,False
20181109100119,0,-1,False
20181109100133,0,-1,False
20181109100145,0,-1,False
20181109100159,0,-1,False
20181109100214,0,-1,False
20181109100228,0,-1,False
20181109100241,0,-1,False
20181109100256,0,-1,False
20181109100310,0,-1,False
20181109100322,0,-1,False
20181109100336,0,-1,False
20181109100350,0,-1,False
20181109100404,0,-1,False
20181109100419,0,-1,False
20181109100431,0,-1,False
20181109100445,0,-1,False
20181109100459,0,-1,False
20181109100513,0,-1,False
20181109100527,0,-1,False
20181109100542,0,-1,False
20181109100556,0,-1,False
20181109100608,0,-1,False
20181109100622,0,-1,False
20181109100635,0,-1,False
20181109100648,0,-1,False
20181109100702,0,-1,False
20181109100717,0,-1,False
20181109100729,0,-1,False
20181109100742,0,-1,False
20181109100756,0,-1,False
20181109100810,0,-1,False
20181109100822,0,-1,False
20181109100836,0,-1,False
20181109100849,0,-1,False
20181109100903,0,-1,False
20181109100916,0,-1,False
20181109100930,0,-1,False
20181109100944,0,-1,False
20181109100958,0,-1,False
20181109101011,0,-1,False
20181109101026,0,-1,False
20181109101037,0,-1,False
20181109101050,0,-1,False
20181109101104,0,-1,False
20181109101118,0,-1,False
20181109101131,0,-1,False
20181109101145,0,-1,False
20181109101200,0,-1,False
20181109101213,0,-1,False
20181109101227,0,-1,False
20181109101241,0,-1,False
20181109101254,0,-1,False
20181109101308,0,-1,False
20181109101322,0,-1,False
20181109101336,0,-1,False
20181109101350,0,-1,False
20181109101404,0,-1,False
20181109101419,0,-1,False
20181109101432,0,-1,False
20181109101444,0,-1,False
20181109101458,0,-1,False
20181109101512,0,-1,False
20181109101527,0,-1,False
20181109101541,0,-1,False
20181109101554,0,-1,False
20181109101608,0,-1,False
20181109101622,0,-1,False
20181109101634,0,-1,False
20181109101646,0,-1,False
20181109101700,0,-1,False
20181109101714,0,-1,False
20181109101726,0,-1,False
20181109101740,0,-1,False
20181109101754,0,-1,False
20181109101808,0,-1,False
20181109101823,0,-1,False
20181109101837,0,-1,False
20181109101851,0,-1,False
20181109101905,0,-1,False
20181109101920,0,-1,False
20181109101933,0,-1,False
20181109101948,0,-1,False
20181109102000,0,-1,False
20181109102015,0,-1,False
20181109102029,0,-1,False
20181109102043,0,-1,False
20181109102057,0,-1,False
20181109102112,0,-1,False
20181109102126,0,-1,False
20181109102140,0,-1,False
20181109102154,0,-1,False
20181109102208,0,-1,False
20181109102223,0,-1,False
20181109102237,0,-1,False
20181109102250,0,-1,False
20181109102304,0,-1,False
20181109102318,0,-1,False
20181109102333,0,-1,False
20181109102344,0,-1,False
20181109102418,0,-1,False
20181109102432,0,-1,False
20181109102446,0,-1,False
20181109102501,0,-1,False
20181109102515,0,-1,False
20181109102528,0,-1,False
20181109102542,0,-1,False
20181109102554,0,-1,False
20181109102608,0,-1,False
20181109102623,0,-1,False
20181109102635,0,-1,False
20181109102650,0,-1,False
20181109102702,0,-1,False
20181109102717,0,-1,False
20181109102729,0,-1,False
20181109102741,0,-1,False
20181109102755,0,-1,False
20181109102809,0,-1,False
20181109102824,0,-1,False
20181109102838,0,-1,False
20181109102852,0,-1,False
20181109102906,0,-1,False
20181109102920,0,-1,False
20181109102935,0,-1,False
20181109102947,0,-1,False
20181109103001,0,-1,False
20181109103016,0,-1,False
20181109103030,0,-1,False
20181109103044,0,-1,False
20181109103057,0,-1,False
20181109103111,0,-1,False
20181109103122,0,-1,False
20181109103140,0,-1,False
20181109103154,0,-1,False
20181109103208,0,-1,False
20181109103221,0,-1,False
20181109103235,0,-1,False
20181109103247,0,-1,False
20181109103301,0,-1,False
20181109103315,0,-1,False
20181109103330,0,-1,False
20181109103344,0,-1,False
20181109103356,0,-1,False
20181109103410,0,-1,False
20181109103423,0,-1,False
20181109103437,0,-1,False
20181109103450,0,-1,False
20181109103504,0,-1,False
20181109103517,0,-1,False
20181109103532,0,-1,False
20181109103546,0,-1,False
20181109103600,0,-1,False
20181109103614,0,-1,False
20181109103625,0,-1,False
20181109103639,0,-1,False
20181109103651,0,-1,False
